"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Cronemberger J.; Corpas M.A.; Cerón I.; Caamaño-Martín E.; Sánchez S.V.","Cronemberger, Joara (57219182980); Corpas, Monica Almagro (56174279500); Cerón, Isabel (37100913900); Caamaño-Martín, Estefanía (6505937589); Sánchez, Sergio Vega (56255766900)","57219182980; 56174279500; 37100913900; 6505937589; 56255766900","BIPV technology application: Highlighting advances, tendencies and solutions through Solar Decathlon Europe houses","2014","Energy and Buildings","83","","","44","56","58","10.1016/j.enbuild.2014.03.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908416497&doi=10.1016%2Fj.enbuild.2014.03.079&partnerID=40&md5=74f5afd93f812386fe9ae11a25a9c663","TISE Research Group, School of Architecture, Technical University of Madrid, Avda. Juan de Herrera, 4, Madrid, 28040, Spain; ABIO Research Group, Department of Construction and Technology in Architecture, Technical University of Madrid, Av. Juan de Herrera 4, Madrid, 28040, Spain; IES-Institute of Solar Energy, Technical University of Madrid, Avda. Ciudad Universitaria s/n, Madrid, 28040, Spain","Cronemberger J., TISE Research Group, School of Architecture, Technical University of Madrid, Avda. Juan de Herrera, 4, Madrid, 28040, Spain; Corpas M.A., TISE Research Group, School of Architecture, Technical University of Madrid, Avda. Juan de Herrera, 4, Madrid, 28040, Spain; Cerón I., ABIO Research Group, Department of Construction and Technology in Architecture, Technical University of Madrid, Av. Juan de Herrera 4, Madrid, 28040, Spain; Caamaño-Martín E., IES-Institute of Solar Energy, Technical University of Madrid, Avda. Ciudad Universitaria s/n, Madrid, 28040, Spain; Sánchez S.V., TISE Research Group, School of Architecture, Technical University of Madrid, Avda. Juan de Herrera, 4, Madrid, 28040, Spain","One of the main characteristics of the Solar Decathlon Europe houses is that they run exclusively on solar energy, as part of the requirements of this worldwide competition for universities. This obligation stimulates the university Teams to search for innovative solutions to integrate photovoltaic technologies in their houses, searching for the best options that combine design with energy efficiency, energy performance and construction. The main tendencies, advances and solutions are presented. © 2014 Elsevier B.V. All rights reserved.","Building applied photovoltaic-BAPV; Building integrated photovoltaic-BIPV; Design approach; Energy strategy; Solar Decathlon Europe","Building integrated photovoltaic; Design approaches; Energy strategy; Photovoltaic; Solar decathlon europe","","","Elsevier Ltd","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-84908416497"
"Radulović J.; Nikolić D.; Skerlić J.; Jovanović M.V.; Bojić L.","Radulović, Jasna (15766026900); Nikolić, Danijela (23502017400); Skerlić, Jasmina (36898633200); Jovanović, Mina Vasković (57697177700); Bojić, Ljubiša (56195671700)","15766026900; 23502017400; 36898633200; 57697177700; 56195671700","BUILDING INTEGRATED PHOTOVOLTAICS-POTENTIAL AND APPLICATION","2019","Proceedings on Engineering Sciences","1","2","","527","532","1","10.24874/PES01.02.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130289693&doi=10.24874%2FPES01.02.051&partnerID=40&md5=130ebddeceefd1c550c130c81881ec3d","Faculty of Engineering, Kragujevac, Serbia","Radulović J., Faculty of Engineering, Kragujevac, Serbia; Nikolić D., Faculty of Engineering, Kragujevac, Serbia; Skerlić J., Faculty of Engineering, Kragujevac, Serbia; Jovanović M.V., Faculty of Engineering, Kragujevac, Serbia; Bojić L., Faculty of Engineering, Kragujevac, Serbia","Global environmental concerns rapidly increase demands for energy coupled with permanent progress in renewable energy technologies are creating new opportunities to utilize renewable energy resources. Solar energy is the most abundant inexhaustible clean of all the renewable energy resources. Photovoltaics generate electrical power by converting solar radiation into direct current electricity using semiconductors that exhibit the photovoltaic effect. Building integrated photovoltaics (BIPV) are photovoltaic materials that are used to replace conventional building materials in parts of the building envelopes such as the roofs skylights or facades. There are several advantages of integrated photovoltaics over more common non-integrated systems which make BIPV one of the fastest growing segments of the photovoltaic industry. Building integrated photovoltaic (BIPV) systems may represent a powerful tool for achieving the ever increasing demand for zero energy zero emission buildings of the near future. © 2019, Faculty of Engineering, University of Kragujevac. All rights reserved.","Building integration; Photovoltaics; Solar energy","","J. Radulović; Faculty of Engineering, Kragujevac, Serbia; email: jasna@kg.ac.rs","","Faculty of Engineering, University of Kragujevac","26202832","","","","English","Proc. Eng. Sci.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85130289693"
"Liao W.; Xu S.","Liao, Wei (57207846330); Xu, Shen (39763683800)","57207846330; 39763683800","Energy performance comparison among see-through amorphous-silicon PV (photovoltaic) glazings and traditional glazings under different architectural conditions in China","2015","Energy","83","","","267","275","107","10.1016/j.energy.2015.02.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926420691&doi=10.1016%2Fj.energy.2015.02.023&partnerID=40&md5=371a582604845d3dba083f0147946ae1","School of Architecture and Urban Planning, Huazhong University of Science and Technology, 1037 Luoyu Road, Wuhan, China","Liao W., School of Architecture and Urban Planning, Huazhong University of Science and Technology, 1037 Luoyu Road, Wuhan, China; Xu S., School of Architecture and Urban Planning, Huazhong University of Science and Technology, 1037 Luoyu Road, Wuhan, China","With the emergence and rapid deployment of PV (photovoltaic) façades, a comparison among see-through amorphous silicon (a-Si) PV glazings and traditional glazings under different architectural conditions could provide us a broader perspective for comprehending the energy performance and utilisation of see-through a-Si PV glazing in BIPV (building integrated photovoltaic) applications. In this paper, two see-through a-Si PV glazings of different transmittance are investigated and compared with three traditional glazings in terms of PV electricity generation and energy consumption during lighting, cooling, and heating in China. The impacts of the architectural conditions are considered in the study, particularly with respect to five factors: room depth, room height, room width, window height, and WWR (window-to-wall ratio). A calculation model for a see-through a-Si PV glazing is developed and validated with field experiments to perform simulations using Energy Plus. The results indicate that see-through a-Si PV glazings have great potential and exhibit better energy performance than single and double glazings, where cooling energy consumption is the dominant factor. The results also suggest that see-through a-Si PV glazings are more beneficial than traditional glazings when they are applied in shallow rooms with large windows or high ceilings. © 2015 Elsevier Ltd.","Architectural conditions; Energy performance; See-through amorphous-silicon PV(photovoltaic) glazings; Traditional glazings","China; Architecture; Energy efficiency; Energy utilization; Glazes; Silicon; Amorphous silicon (a-Si); Architectural conditions; Building integrated photovoltaic; Cooling energy consumption; Electricity generation; Energy performance; Photovoltaic; Traditional glazings; amorphous medium; architectural design; comparative study; cooling; electricity generation; energy use; performance assessment; photovoltaic system; Amorphous silicon","S. Xu; School of Architecture and Urban Planning, Huazhong University of Science and Technology, Wuhan, 1037 Luoyu Road, China; email: xushen@hust.edu.cn","","Elsevier Ltd","03605442","","ENEYD","","English","Energy","Article","Final","","Scopus","2-s2.0-84926420691"
"Lotfy E.R.","Lotfy, Eslam Reda (57226768006)","57226768006","Modelling of solar insolation on arrayed buildings with shading effect considered","2024","Sadhana - Academy Proceedings in Engineering Sciences","49","2","145","","","2","10.1007/s12046-024-02509-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190392233&doi=10.1007%2Fs12046-024-02509-9&partnerID=40&md5=daf49fb7b5c81f211a5694a012c5edd5","Department of Energy Resources Engineering, Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Borj Al-Arab, 21934, Egypt; Mechanical Engineering Department, Faculty of Engineering, Alexandria University, Alexandria, Alexandria, 21544, Egypt","Lotfy E.R., Department of Energy Resources Engineering, Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Borj Al-Arab, 21934, Egypt, Mechanical Engineering Department, Faculty of Engineering, Alexandria University, Alexandria, Alexandria, 21544, Egypt","Solar radiation plays a dominant role in numerous engineering systems. Shading, resulting from various objects, modulates the amount and distribution of irradiance received by surfaces. This research aimed to develop a model for assessing the spatial and temporal distribution of insolation on urban surfaces affected by building shadows. A Scilab code was implemented to compute building shadows using a direct mathematical algorithm. The results indicate that the front façade of the building is exposed to the sun for approximately 35–40% of the year’s hours, collecting more than 0.5 MW-hr/m2 annually. It was observed that building shadows effectively mitigate solar radiation, especially when the building width is between 0.25 and 3 times the spacing between buildings. The ground exhibited the lowest shading factor value and the highest sensitivity to latitude. These findings are intended to serve as a reference for urban planners. © Indian Academy of Sciences 2024.","Building energy performance; building-integrated photovoltaic; solar irradiance; urban heat island; urban shading","Atmospheric temperature; Energy efficiency; Incident solar radiation; Solar power generation; Building energy performance; Building integrated photovoltaic; Engineering systems; Shading effect; Solar insolation; Solar irradiances; Spatial and temporal distribution; Urban heat island; Urban shading; Urban surfaces; Buildings","E.R. Lotfy; Department of Energy Resources Engineering, Egypt-Japan University of Science and Technology (E-JUST), Borj Al-Arab, Alexandria, 21934, Egypt; email: eslam.reda@alexu.edu.eg","","Springer","02562499","","SAPSE","","English","Sadhana","Article","Final","","Scopus","2-s2.0-85190392233"
"Lourenço J.M.; Aelenei L.; Facão J.; Gonçalves H.; Aelenei D.; Pina J.M.","Lourenço, José Marco (57223906728); Aelenei, Laura (36150527100); Facão, Jorge (6507511941); Gonçalves, Helder (7003936553); Aelenei, Daniel (24337633200); Pina, João Murta (8696667500)","57223906728; 36150527100; 6507511941; 7003936553; 24337633200; 8696667500","The use of key enabling technologies in the nearly zero energy buildings monitoring, control and intelligent management","2021","Energies","14","17","5524","","","7","10.3390/en14175524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114467920&doi=10.3390%2Fen14175524&partnerID=40&md5=12379855825ddc677e794697a7c626f7","Laboratório Nacional de Energia e Geologia (LNEG), Lisboa, 1649‐038, Portugal; NOVA School of Science and Technology, NOVA University of Lisbon, Caparica, 2829‐516, Portugal; Center of Technology and Systems/UNINOVA, FCT Campus, Caparica, 2829‐516, Portugal","Lourenço J.M., Laboratório Nacional de Energia e Geologia (LNEG), Lisboa, 1649‐038, Portugal; Aelenei L., Laboratório Nacional de Energia e Geologia (LNEG), Lisboa, 1649‐038, Portugal; Facão J., Laboratório Nacional de Energia e Geologia (LNEG), Lisboa, 1649‐038, Portugal; Gonçalves H., Laboratório Nacional de Energia e Geologia (LNEG), Lisboa, 1649‐038, Portugal; Aelenei D., NOVA School of Science and Technology, NOVA University of Lisbon, Caparica, 2829‐516, Portugal, Center of Technology and Systems/UNINOVA, FCT Campus, Caparica, 2829‐516, Portugal; Pina J.M., NOVA School of Science and Technology, NOVA University of Lisbon, Caparica, 2829‐516, Portugal, Center of Technology and Systems/UNINOVA, FCT Campus, Caparica, 2829‐516, Portugal","The 2018 revision of the European Performance Building Directive (EPBD) requires that from the year 2020 onwards, all new buildings will have to be “nearly zero energy buildings”. It also further promotes smart building technologies, raising awareness amongst building owners and occupants of the value behind building automation. The European Commission also identified, in 2011, Key Enabling Technologies (KETs), which provide the basis for innovation in the EU. In the frame of the SUDOKET project, the Solar XXI building was used as a pilot case, as innovative integrated solutions and technologies are monitored and controlled. The objective of this paper is to validate a simulation of the laboratorial test room in EnergyPlus with data obtained experimentally and determine the impact of the control systems on energy needs and on thermal comfort. Two systems, in particular, were studied: the Building‐Integrated Photovoltaic (BIPV) and the earth tubes. Once validated, the simulation of the test room without the systems was created, allowing their impact to be determined. The results show that, for the analysed periods, BIPVs reduced the heating consumption by 22% while also increasing thermal comfort, and the earth tube system would reduce the cooling needs by 97%. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Building management; Building monitoring; Building simulation; Control; Key enabling technologies; NZEB; Smart buildings","Intelligent buildings; Solar buildings; Thermal comfort; Building automation; Enabling technologies; European Commission; Heating consumption; Integrated solutions; Intelligent management; Laboratorial tests; Smart-building technology; Zero energy buildings","J.M. Lourenço; Laboratório Nacional de Energia e Geologia (LNEG), Lisboa, 1649‐038, Portugal; email: jose.lourenco@lneg.pt","","MDPI","19961073","","","","English","Energies","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85114467920"
"Arkar C.; Žižak T.; Domjan S.; Medved S.","Arkar, C. (6603099757); Žižak, T. (57219436964); Domjan, S. (6507757092); Medved, S. (55907044900)","6603099757; 57219436964; 6507757092; 55907044900","Dynamic parametric models for the holistic evaluation of semi-transparent photovoltaic/thermal façade with latent storage inserts","2020","Applied Energy","280","","115994","","","20","10.1016/j.apenergy.2020.115994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092712906&doi=10.1016%2Fj.apenergy.2020.115994&partnerID=40&md5=bc09940e266f8a24f8a1a1de50d075d1","University of Ljubljana, Faculty of Mechanical Engineering, Laboratory for Sustainable Technologies in Buildings, Aškerčeva 6, Ljubljana, 1000, Slovenia","Arkar C., University of Ljubljana, Faculty of Mechanical Engineering, Laboratory for Sustainable Technologies in Buildings, Aškerčeva 6, Ljubljana, 1000, Slovenia; Žižak T., University of Ljubljana, Faculty of Mechanical Engineering, Laboratory for Sustainable Technologies in Buildings, Aškerčeva 6, Ljubljana, 1000, Slovenia; Domjan S., University of Ljubljana, Faculty of Mechanical Engineering, Laboratory for Sustainable Technologies in Buildings, Aškerčeva 6, Ljubljana, 1000, Slovenia; Medved S., University of Ljubljana, Faculty of Mechanical Engineering, Laboratory for Sustainable Technologies in Buildings, Aškerčeva 6, Ljubljana, 1000, Slovenia","High energy efficiency, energy autonomy, and improved living conditions are basic requirements of sustainable buildings. Advanced building envelope structures can provide these requirements. In the present paper, multipurpose façade structure designed as semi-transparent modular building-integrated photovoltaic façade with a forced ventilated cavity and enhanced heat storage capacity, using encapsulated phase change inserts installed on inner glass pane of photovoltaic module and on building envelope, is evaluated. The design of the façade structure, including simultaneous optimization of photovoltaic cell-packing factor, phase change material inserts properties, and heat transfer by convection in air gap, was based on transient modeling. A 60% photovoltaic cell-packing factor enables the highest overall energy efficiency, while phase change material inserts on the inner glass pane of photovoltaic module have no impact on diurnal photovoltaic cell efficiency. However, a phase change material layer installed on the envelope decreases the diurnal heat losses by half at solar radiation of 2200 Wh/m2 day. The energy performance of an optimized modular structure was determined via in-situ experiments; the data were used for developing dynamic approximation models of energy efficiency indicators. It was found that multiple regression models with interactions and past values can predict dynamic responses with sufficient accuracy. Depending on the heating season's climate conditions, the developed semi-transparent modular building-integrated photovoltaic façade decreases the energy needs 40% to 55% in comparison to the reference façade with solar energy utilization efficiency in the range between 44% and 63%. This proves that such structures can contribute to fulfilling of requirements of sustainable buildings. © 2020","Building-integrated photovoltaics façade structures; Dynamic thermal insulation; In-situ experiments; Multi-parametric regression models; PCM solar storage","Digital storage; Energy utilization; Glass; Heat storage; Heat transfer; Intelligent buildings; Modular construction; Phase change materials; Photoelectrochemical cells; Photovoltaic cells; Regression analysis; Solar buildings; Solar cells; Solar energy; Sustainable development; Building envelope structures; Energy efficiency indicator; Heat transfer by convections; High energy efficiency; Multiple regression model; Overall energy efficiency; Semi-transparent photovoltaic; Simultaneous optimization; convection; energy efficiency; energy storage; heat transfer; heating; holistic approach; parameterization; photovoltaic system; thermal power; Energy efficiency","S. Medved; University of Ljubljana, Faculty of Mechanical Engineering, Laboratory for Sustainable Technologies in Buildings, Ljubljana, Aškerčeva 6, 1000, Slovenia; email: saso.medved@fs.uni-lj.si","","Elsevier Ltd","03062619","","APEND","","English","Appl. Energy","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85092712906"
"Voss K.; Musall E.; Lichtmeß M.","Voss, Karsten (7103082379); Musall, Eike (36009056300); Lichtmeß, Markus (37104330600)","7103082379; 36009056300; 37104330600","From low-energy to net zero-energy buildings: Status and perspectives","2011","Journal of Green Building","6","1","","46","57","134","10.3992/jgb.6.1.46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955126536&doi=10.3992%2Fjgb.6.1.46&partnerID=40&md5=0f388da0518f8ad50d06932a1a15ac21","Department Architecture, Building Science, University Wuppertal, 42285 Wuppertal, Haspelerstrasse 27, Germany; 54292 Trier, Merianstraße 9, Germany","Voss K., Department Architecture, Building Science, University Wuppertal, 42285 Wuppertal, Haspelerstrasse 27, Germany; Musall E., Department Architecture, Building Science, University Wuppertal, 42285 Wuppertal, Haspelerstrasse 27, Germany; Lichtmeß M., 54292 Trier, Merianstraße 9, Germany","""Net Zero-Energy Building"" has become a popular catchphrase to describe the synergy between energy-efficient building and renewable energy utilisation to achieve a balanced energy budget over an annual cycle. Taking into account the energy exchange with a grid overcomes the limitations of energy-autonomous buildings with the need for seasonal energy storage on-site. Although the expression, ""Net Zero-Energy Building,"" appears in many energy policy documents, a harmonised definition or a standardised balancing method is still lacking. This paper reports on the background and the various effects influencing the energy balance approach. After discussing the national energy code framework in Germany, a harmonised terminology and balancing procedure is proposed. The procedure takes not only the energy balance but also energy efficiency and load matching into account.","Building energy balance; Building energy codes; Building integrated photovoltaic; Combined heat and power generation; Grid interaction","","K. Voss; Department Architecture, Building Science, University Wuppertal, 42285 Wuppertal, Haspelerstrasse 27, Germany; email: kvoss@uni-wuppertal.de","","College Publishing","15526100","","","","English","J. Green Build.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-79955126536"
"Athienitis A.K.; Barone G.; Buonomano A.; Palombo A.","Athienitis, Andreas K. (7003723013); Barone, Giovanni (57202034121); Buonomano, Annamaria (53463179700); Palombo, Adolfo (6701332966)","7003723013; 57202034121; 53463179700; 6701332966","Assessing active and passive effects of façade building integrated photovoltaics/thermal systems: Dynamic modelling and simulation","2018","Applied Energy","209","","","355","382","131","10.1016/j.apenergy.2017.09.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032896108&doi=10.1016%2Fj.apenergy.2017.09.039&partnerID=40&md5=188a9c6c4b46e2fcdd0a1673e2d830f9","Dept. of Building, Civil and Environmental Engineering, Concordia University, 1455 De Maisonneuve Blvd. W., Montreal, H3G 1M8, Quebec, Canada; DII, University of Naples Federico II, P.le Tecchio, 80, Naples, 80125, Italy","Athienitis A.K., Dept. of Building, Civil and Environmental Engineering, Concordia University, 1455 De Maisonneuve Blvd. W., Montreal, H3G 1M8, Quebec, Canada; Barone G., DII, University of Naples Federico II, P.le Tecchio, 80, Naples, 80125, Italy; Buonomano A., Dept. of Building, Civil and Environmental Engineering, Concordia University, 1455 De Maisonneuve Blvd. W., Montreal, H3G 1M8, Quebec, Canada, DII, University of Naples Federico II, P.le Tecchio, 80, Naples, 80125, Italy; Palombo A., DII, University of Naples Federico II, P.le Tecchio, 80, Naples, 80125, Italy","This paper analyses the integration of air open-loop photovoltaic thermal systems on the façade of high-rise buildings, with a special focus on their active and passive effects. The system energy performance and its impact on the building heating and cooling demands and electrical production are assessed through a new dynamic simulation model. The developed numerical model of the proposed system, based on a detailed transient finite difference thermal network, is verified by comparing its outcomes to experimental results. With the aim to carry out whole building energy performance analyses, the model is implemented in a dynamic simulation tool for the building energy performance assessment, called DETECt 2.3, and suitably modified to analyse the main building integration energy issues. To assess the potentiality of the numerical model and the feasibility of the investigated system, a comprehensive case study relative to a multi-floor high rise office building located in several European climate zones is developed. A comparative and parametric analysis is also carried out with the aim to evaluate the system active and passive effects as a function of the building height. Simulation results show that by using building integrated air open-loop photovoltaic thermal systems, an interesting percentage reduction of the heating demand can be obtained. Both passive and active effects contribute to the variation of the thermal and electrical efficiencies. For the investigated weather zones, the innovative system leads to a reduction of the final energy consumptions ranging from 56.8 to 104.4%, approaching the nearly or net positive zero energy building target in the southern climate. Finally, the proposed analysis also aims to show the main implications linked to the design of the system, to be carefully taken into consideration by designers and stakeholders in case of new buildings or renovations. © 2017 Elsevier Ltd","Building integrated photovoltaic thermal system; Dynamic simulation modelling; Energy performance analysis; Multi-floor building","Europe; Climate models; Computer simulation; Energy efficiency; Energy utilization; Floors; Integration; Numerical models; Office buildings; Photovoltaic effects; Tall buildings; Building energy performance; Building integrated photovoltaic thermal (BIPVT) systems; Building-integrated photovoltaics; Dynamic simulation tool; Energy performance; High-rise office buildings; Modelling and simulations; Zero energy building (ZEB); building; cooling; dynamic analysis; energy efficiency; experimental study; geothermal system; heating; numerical method; performance assessment; photovoltaic system; Buildings","A. Buonomano; DII, University of Naples Federico II, Naples, P.le Tecchio, 80, 80125, Italy; email: annamaria.buonomano@unina.it","","Elsevier Ltd","03062619","","APEND","","English","Appl. Energy","Article","Final","","Scopus","2-s2.0-85032896108"
"Riantini L.S.; Machfudiyanto R.A.; Rachmawati T.S.N.; Rachman M.D.A.; Fachrizal R.; Shadram F.","Riantini, Leni Sagita (57207780007); Machfudiyanto, Rossy Armyn (57193522353); Rachmawati, Titi Sari Nurul (57218212837); Rachman, Mochamad Daffa Alfiansyah (58762884300); Fachrizal, Reza (57205631401); Shadram, Farshid (57044761400)","57207780007; 57193522353; 57218212837; 58762884300; 57205631401; 57044761400","Energy Efficiency Analysis of Building Envelope Renovation and Photovoltaic System in a High-Rise Hotel Building in Indonesia","2024","Buildings","14","6","1646","","","13","10.3390/buildings14061646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197221500&doi=10.3390%2Fbuildings14061646&partnerID=40&md5=b108aa324079980ec683ec11c8c5ac5b","Department of Civil and Environmental Engineering, Faculty of Engineering, Universitas Indonesia, Depok, 16424, Indonesia; Future Energy Center, Mälardalen University, Universitetsplan 1, Västerås, 72220, Sweden; Division of Civil Engineering and Built Environment, Department of Civil and Industrial Engineering, Uppsala University, Uppsala, 75237, Sweden","Riantini L.S., Department of Civil and Environmental Engineering, Faculty of Engineering, Universitas Indonesia, Depok, 16424, Indonesia; Machfudiyanto R.A., Department of Civil and Environmental Engineering, Faculty of Engineering, Universitas Indonesia, Depok, 16424, Indonesia; Rachmawati T.S.N., Department of Civil and Environmental Engineering, Faculty of Engineering, Universitas Indonesia, Depok, 16424, Indonesia; Rachman M.D.A., Department of Civil and Environmental Engineering, Faculty of Engineering, Universitas Indonesia, Depok, 16424, Indonesia; Fachrizal R., Future Energy Center, Mälardalen University, Universitetsplan 1, Västerås, 72220, Sweden; Shadram F., Division of Civil Engineering and Built Environment, Department of Civil and Industrial Engineering, Uppsala University, Uppsala, 75237, Sweden","The development of high-rise buildings worldwide has given rise to significant concerns regarding their excessive electricity consumption. Among the various categories of high-rise structures, hotels used for business and conferences stand out as particularly extravagant in their energy use. The consequence arising from excessive energy usage is an escalation in carbon emissions, which is a primary driver of global warming. Therefore, this study aims to investigate the energy use intensity (EUI) of a hotel building located in Jakarta, Indonesia. In order to improve energy performance, this study explored various options for renovating the building envelope, such as incorporating insulation and a roof covering, as well as implementing building-integrated photovoltaics (BIPV). The building envelope renovations demonstrated a notable reduction in energy use by 15.8–27.7% per year. BIPV, such as curtain walls and double-skin façades, generated an energy use reduction of 4.8–8.6% per year. Remarkably, by combining the two approaches (i.e., adding insulation and a roof covering in the building envelope and adopting BIPV as double-skin façades), the potential reduction in energy use reached up to 32.2% per year. The findings can assist decision-makers in developing building renovation strategies for high-rise buildings while considering energy conservation. © 2024 by the authors.","BIM; building integrated photovoltaics; energy analysis; energy use intensity","Architectural design; Decision making; Energy efficiency; Historic preservation; Hotels; Roofs; Tall buildings; % reductions; BIM; Building envelopes; Building integrated photovoltaic; Energy analysis; Energy use; Energy-use intensities; High rise building; Hotel building; Indonesia; Global warming","R.A. Machfudiyanto; Department of Civil and Environmental Engineering, Faculty of Engineering, Universitas Indonesia, Depok, 16424, Indonesia; email: rossyarmyn@eng.ui.ac.id","","Multidisciplinary Digital Publishing Institute (MDPI)","20755309","","","","English","Buildings","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85197221500"
"Mandalaki M.; Zervas K.; Tsoutsos T.; Vazakas A.","Mandalaki, M. (55270594100); Zervas, K. (55270472100); Tsoutsos, T. (6701923370); Vazakas, A. (55270640100)","55270594100; 55270472100; 6701923370; 55270640100","Assessment of fixed shading devices with integrated PV for efficient energy use","2012","Solar Energy","86","9","","2561","2575","111","10.1016/j.solener.2012.05.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865609957&doi=10.1016%2Fj.solener.2012.05.026&partnerID=40&md5=8880a8e8ffb586e9568af7fa623a830a","Technical University of Crete, Department of Environmental Engineering, 73100 Chania, Crete, University Campus, Greece; Technical University of Crete, Department of Architecture, 73100 Chania, Crete, El. Venizelou 127, Greece","Mandalaki M., Technical University of Crete, Department of Environmental Engineering, 73100 Chania, Crete, University Campus, Greece; Zervas K., Technical University of Crete, Department of Environmental Engineering, 73100 Chania, Crete, University Campus, Greece; Tsoutsos T., Technical University of Crete, Department of Environmental Engineering, 73100 Chania, Crete, University Campus, Greece; Vazakas A., Technical University of Crete, Department of Architecture, 73100 Chania, Crete, El. Venizelou 127, Greece","The use of external fixed shading devices to adjust solar influx radiation and to save energy is well known. However, fixed shading devices can reduce daylight availability, increase artificial light needs and block the beneficial winter solar radiation. This paper is part of a research on the characteristics of the optimum shading device. The aim is to investigate the balance between the energy needs for heating and cooling the space that the shading device is used for and the energy that is used for lighting the same space and the energy that the shading device can produce. In order to investigate the balance between the above mentioned parameters, thirteen types of fixed shading devices have been studied and categorized according to their energy performance, for a single occupant office room. The same office room is tested for two different Mediterranean latitudes in Athens and in Chania, Crete in Greece and for two different south facing windows' sizes. The thermal behavior of the devices is assessed through computer simulation application and the daylight analysis is assessed with both computer simulation and physical modeling. Stable parameters were the internal loads in the office room, the south orientation of the façade and the type of glazing. Variable parameter was the type of the fixed shading device. The study shows that all shading devices with integrated south facing PV can efficiently produce electricity which may be used for lighting. The study highlights the fact that shading devices such as Surrounding shading, Brise-Soleil full façade and Canopy inclined double work efficiently against thermal and cooling loads and may be used to produce sufficient electricity and control daylight. The study defines the geometrical parameters that will be incorporated to the overall characteristics of the optimum fixed shading device and proposes new fields of development for the BIPV technologies. © 2012 Elsevier Ltd.","BIPV; Daylight availability; Electricity production; Photovoltaic panel; Shading device; Thermal comfort","Aegean Islands; Athens [Attica]; Attica; Canea; Crete; Greece; Computational methods; Computer simulation; Facings; Lighting; Models; Photovoltaic cells; Solar energy; Sun; Thermal comfort; BIPV; Daylight availability; Electricity production; Photovoltaic panels; Shading devices; assessment method; cooling; electricity generation; energy conservation; energy efficiency; heating; integrated approach; light effect; numerical model; photovoltaic system; solar radiation; temperature effect; Energy efficiency","M. Mandalaki; Technical University of Crete, 73132 Chania, St. Titos Square, Greece; email: mandalaki@arch.tuc.gr","","","0038092X","","SRENA","","English","Sol. Energy","Article","Final","","Scopus","2-s2.0-84865609957"
