GBRS,A_Roof_PV,B_Facade_PV,C_Window_Curtain_PV,D_Shading_PV,E_Glass_Energy_PV,F_Thermal_Envelope,G_Daylighting_Visual,H_Materials_LCA,I_Carbon_Accounting,J_EV_Storage,K_Design_Integration,L_Innovation
ASGB,2,1,0,0,0,2,2,1,2,1,0,1
BEAM Plus,2,3,1,1,1,2,1,1,1,1,2,1
BREEAM,2,1,1,1,0,2,2,3,3,1,3,2
CASBEE,1,1,0,1,0,2,2,1,1,0,0,0
DGNB,2,3,2,2,2,3,2,3,3,2,2,2
EDGE,2,0,0,0,0,2,1,0,1,0,0,0
Estidama Pearl,2,1,1,2,1,2,2,1,2,1,3,1
GRIHA,2,1,0,0,0,2,2,1,1,0,0,2
GSAS/QSAS,1,1,0,1,0,2,2,1,1,0,0,1
Green Globes,2,1,0,0,0,2,2,2,1,1,1,1
Green Mark,3,2,1,2,1,3,2,2,3,2,3,2
Green Star,2,1,1,1,0,2,2,2,3,1,1,3
HQE,2,1,0,1,0,2,2,2,2,1,1,1
IGBC,2,1,0,0,0,2,2,1,1,1,0,1
LBC,3,3,2,2,2,2,2,3,3,2,3,3
LEED,2,1,0,0,0,1,1,1,1,1,1,2
LOTUS,2,1,0,0,0,2,2,1,1,0,0,0
MINERGIE,3,2,1,1,1,3,1,2,3,1,2,1
Passive House,2,1,1,1,1,3,1,1,2,0,1,1
TREES,2,1,0,0,0,2,2,1,1,0,0,1
WELL,0,0,0,1,0,0,3,0,0,0,0,0
