GBRS,Country,D1_Credit_Weight,D2_BIPV_Specificity,D3_Application_Coverage,D4_Design_Integration,D5_Ambition_Level,D6_Performance_Verification,D7_Synergy_Envelope,D8_Innovation_Pathway,Total_Score,Percentage
LEED,USA,1,1,1,1,1,1,0,2,8,33.3
BREEAM,UK,2,1,1,3,3,1,1,2,14,58.3
Green Mark,Singapore,3,2,2,3,2,3,1,2,18,75.0
Green Star,Australia,2,1,1,1,3,1,1,3,13,54.2
ASGB,China,1,1,1,0,1,2,0,1,7,29.2
BEAM Plus,Hong Kong,1,2,1,2,0,1,0,1,8,33.3
CASBEE,Japan,1,1,1,0,1,1,0,0,5,20.8
DGNB,Germany,2,2,2,2,2,2,3,2,17,70.8
WELL,USA,0,0,0,0,0,0,0,0,0,0.0
IGBC,India,1,1,1,0,1,1,0,1,6,25.0
Estidama Pearl,UAE,2,1,1,1,2,2,0,1,10,41.7
GSAS/QSAS,Qatar,1,1,1,0,1,1,0,1,6,25.0
Green Globes,USA/Canada,1,1,1,0,1,1,0,1,6,25.0
HQE,France,1,1,1,1,2,1,1,1,9,37.5
EDGE,Global (IFC),1,0,1,0,1,0,0,0,3,12.5
Living Building Challenge,USA (ILFI),3,2,2,2,3,3,2,3,20,83.3
Passive House,Germany (PHI),1,1,1,0,2,2,1,1,9,37.5
GRIHA,India,1,1,1,0,1,1,0,1,6,25.0
LOTUS,Vietnam,1,0,1,0,1,0,0,0,3,12.5
TREES,Thailand,1,0,1,0,1,0,0,0,3,12.5
MINERGIE,Switzerland,2,1,1,1,3,2,1,1,12,50.0
